Month,Category,Free,Name,Link
September,Sports,No,NFL Football Season - Washington Commanders,https://www.commanders.com/schedule/
October,Sports,No,NFL Football Season - Washington Commanders,https://www.commanders.com/schedule/
November,Sports,No,NFL Football Season - Washington Commanders,https://www.commanders.com/schedule/
December,Sports,No,NFL Football Season - Washington Commanders,https://www.commanders.com/schedule/
January,Sports,No,NFL Football Season - Washington Commanders,https://www.commanders.com/schedule/
February,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
March,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
April,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
May,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
June,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
July,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
August,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
September,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
October,Sports,No,MLB Baseball Season - Washington Nationals,https://www.mlb.com/nationals/schedule/
October,Sports,No,NHL Hockey Season - Washington Capitals,https://www.ticketmaster.com/washington-capitals-tickets/artist/806039?home_away=home
November,Sports,No,NHL Hockey Season - Washington Capitals,https://www.ticketmaster.com/washington-capitals-tickets/artist/806039?home_away=home
December,Sports,No,NHL Hockey Season - Washington Capitals,https://www.ticketmaster.com/washington-capitals-tickets/artist/806039?home_away=home
January,Sports,No,NHL Hockey Season - Washington Capitals,https://www.ticketmaster.com/washington-capitals-tickets/artist/806039?home_away=home
February,Sports,No,NHL Hockey Season - Washington Capitals,https://www.ticketmaster.com/washington-capitals-tickets/artist/806039?home_away=home
March,Sports,No,NHL Hockey Season - Washington Capitals,https://www.ticketmaster.com/washington-capitals-tickets/artist/806039?home_away=home
April,Sports,No,NHL Hockey Season - Washington Capitals,https://www.ticketmaster.com/washington-capitals-tickets/artist/806039?home_away=home
October,Sports,No,NBA Basketball Season - Washington Wizards,https://www.ticketmaster.com/washington-wizards-tickets/artist/806042?home_away=home
November,Sports,No,NBA Basketball Season - Washington Wizards,https://www.ticketmaster.com/washington-wizards-tickets/artist/806042?home_away=home
December,Sports,No,NBA Basketball Season - Washington Wizards,https://www.ticketmaster.com/washington-wizards-tickets/artist/806042?home_away=home
January,Sports,No,NBA Basketball Season - Washington Wizards,https://www.ticketmaster.com/washington-wizards-tickets/artist/806042?home_away=home
February,Sports,No,NBA Basketball Season - Washington Wizards,https://www.ticketmaster.com/washington-wizards-tickets/artist/806042?home_away=home
March,Sports,No,NBA Basketball Season - Washington Wizards,https://www.ticketmaster.com/washington-wizards-tickets/artist/806042?home_away=home
April,Sports,No,NBA Basketball Season - Washington Wizards,https://www.ticketmaster.com/washington-wizards-tickets/artist/806042?home_away=home
February,Sports,No,MLS Soccer Season - DC United,https://www.ticketmaster.com/d.c.-united-tickets/artist/806390?home_away=home
March,Sports,No,MLS Soccer Season - DC United,https://www.ticketmaster.com/d.c.-united-tickets/artist/806390?home_away=home
April,Sports,No,MLS Soccer Season - DC United,https://www.ticketmaster.com/d.c.-united-tickets/artist/806390?home_away=home
